Route_name,Route_link
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore
Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
