Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Express Line,Volvo 9600 A/C Semi Sleeper (2+2),13:45,18:15,04h 30m,INR 799,14 Seats available,"4.5
413",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Greenline,Volvo A/C Seater (2+2),13:30,18:15,04h 45m,INR 750,20 Seats available,"4.5
190",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),13:45,18:55,05h 10m,INR 915,18 Seats available,"4.3
339",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Mayuri Express,A/C Seater (2+3),11:15,16:00,04h 45m,423,57 Seats available,"4.3
181",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),13:30,18:25,04h 55m,INR 976,22 Seats available,"4.5
303",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Mayuri Express,AC Seater (2+2),10:30,15:30,05h 00m,495,34 Seats available,"3.9
302",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan,AC Seater (2+3),11:35,16:25,04h 50m,320,19 Seats available,"3.6
20",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Parisheba (Santosh),AC Seater (2+3),10:55,15:30,04h 35m,288,35 Seats available,"3.2
11",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),09:50,15:20,05h 30m,INR 778,32 Seats available,"3.8
340",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Greenline,Volvo A/C Seater (2+2),13:40,18:25,04h 45m,INR 750,16 Seats available,"4.2
292",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Express Line,VE A/C Seater (2+2),10:25,15:20,04h 55m,INR 619,28 Seats available,"4.1
373",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,05h 25m,333,30 Seats available,"3.8
28",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Maa Chandi Travels,A/C Seater / Sleeper (2+2),12:35,17:15,04h 40m,INR 300,13 Seats available,"3.8
47",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan,AC Seater (2+3),11:10,15:35,04h 25m,338,11 Seats available,"3.8
18",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Ankita Paribahan(Atithi),A/C Seater Push Back (2+3),13:35,17:50,04h 15m,333,32 Seats available,"3.1
27",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
City Express (Shinjini),AC Seater (2+3),22:45,04:10,05h 25m,333,26 Seats available,"3.6
33",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Bengal Surface Transport,A/C Seater / Sleeper (2+2),10:55,15:55,05h 00m,399,33 Seats available,"3.8
36",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Monikanchan Bus Service,A/C Seater (2+3),13:30,17:45,04h 15m,338,21 Seats available,"4.5
43",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Parisheba(SNEHA GOLD),AC Seater (2+3),16:40,21:30,04h 50m,288,43 Seats available,"3.2
36",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Parisheba (Manikanchan),AC Seater (2+3),12:20,16:45,04h 25m,333,13 Seats available,"3.1
13",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Haimanti Bus Service,AC Seater (2+3),05:40,10:30,04h 50m,INR 200,20 Seats available,"3.1
30",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Satya Paribahan,A/C Seater (2+3),23:00,03:45,04h 45m,INR 370,38 Seats available,"3.0
30",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),10:30,15:00,04h 30m,INR 699,35 Seats available,"3.5
148",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Sree Jagannath Travels,A/C Seater Push Back (2+3),15:00,20:00,05h 00m,INR 250,30 Seats available,"3.3
21",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
City Express (Maa Gouri),AC Seater (2+3),04:57,09:25,04h 28m,320,26 Seats available,"3.4
12",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Parisheba(Santosh),AC Seater (2+3),11:30,16:10,04h 40m,288,32 Seats available,"3.6
16",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Monikanchan Bus Service,Non AC Seater (2+3),11:40,16:15,04h 35m,194,24 Seats available,"4.2
8",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Pariseba(Santosh),AC Seater (2+3),10:00,14:30,04h 30m,288,21 Seats available,"3.2
12",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
ADHIKARY PARIBAHAN,A/C Seater (2+3),07:40,12:35,04h 55m,266,18 Seats available,"3.3
5",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Subhadip Travels(Narayan),A/C Executive (2+3),12:20,17:00,04h 40m,288,60 Seats available,4.2,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
SANTOSH BUS SERVICE,AC Seater (2+3),04:30,09:00,04h 30m,INR 310,41 Seats available,"4.7
5",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Basu Travels,A/C Seater / Sleeper (2+2),10:55,15:55,05h 00m,375,30 Seats available,"3.9
12",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
City Express (Snemita),AC Seater (2+3),11:10,15:30,04h 20m,338,31 Seats available,"3.5
6",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Parameswar Travels,A/C Seater Push Back (2+3),09:30,14:15,04h 45m,340,50 Seats available,"2.8
51",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Sneha Gold Bus Service,A/C Seater (2+3),16:30,21:30,05h 00m,INR 300,20 Seats available,"3.2
20",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan(Snemita),AC Seater (2+3),11:45,16:25,04h 40m,320,39 Seats available,"2.9
27",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Ankita Paribahan(Atithi),A/C Seater (2+3),10:45,15:45,05h 00m,378,41 Seats available,"2.9
16",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Ankita Paribahan (Maity Motor),A/C Seater Push Back (2+3),13:05,17:30,04h 25m,333,33 Seats available,"2.4
20",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan(SHINJINI),A/C Seater (2+3),16:00,20:30,04h 30m,320,26 Seats available,"2.4
20",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Pariseba(Samanta),AC Seater (2+3),09:10,13:45,04h 35m,270,41 Seats available,"2.4
10",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan,Non AC Seater (2+3),10:30,15:00,04h 30m,198,56 Seats available,"2.2
11",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan (SHINJINI),A/C Seater (2+3),11:15,15:45,04h 30m,320,26 Seats available,"2.4
9",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
City Express (Shinjini),AC Seater (2+3),15:20,19:55,04h 35m,320,19 Seats available,"2.1
20",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
City Express,AC Seater (2+3),11:35,16:25,04h 50m,320,26 Seats available,"2.4
13",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Bengal Surface Transport,A/C Seater Push Back (2+3),07:20,12:24,05h 04m,276,36 Seats available,"1.6
6",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan (Sagar Kanya),AC Seater (2+3),10:20,14:55,04h 35m,320,39 Seats available,"1.8
4",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Parameswar Travels,A/C Seater Push Back (2+3),06:25,11:10,04h 45m,285,31 Seats available,"1.3
6",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan(Maa Chandi),A/C Push Back (2+3),12:10,16:45,04h 35m,320,33 Seats available,"2.7
6",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
